id;ehit_id;nliik_kood;kuju_jnr;gis_kood;nimetus;sissepaasu_punkt;ads_oid;geometry;kuju_moodustusviis;date_created;date_updated;ehr_kood;adob_id;ads_liik;tyhistatud_kp;nahtus;taisaadress;lahiaadress;pindala;viitepunkt_x;viitepunkt_y;geom_updated
939676;3879613;;1;;põllumajandushoone;;EE03412077;0103000000010000000500000066666666B92E20413333333330E858419A999999B12E2041333333532DE85841CDCCCCCCE32E2041666666E62AE85841CDCCCCCCEB2E20419A9999B92DE8584166666666B92E20413333333330E85841;M;2015-03-06 09:34:06.893947;2015-03-06 09:38:01.186523;120724598;;ME;;HOONE;Rapla maakond, Märjamaa vald, Suurküla, Jussi;Jussi;325.4;530279.30;6529206.17;2015-03-06 09:34:06
1094788;4032956;;1;;;;ME01766871;0103000000010000000500000033333333220620415C8FC27523EB5841AE47E17A280620417B14AEA721EB584148E17A9449062041AE47E17A23EB5841C3F5285C430620413333334325EB584133333333220620415C8FC27523EB5841;D;2015-10-06 10:30:01.310083;2015-10-06 10:32:32.257539;109011018;4744840;ME;;HOONE;Rapla maakond, Märjamaa vald, Rangu küla, Vatu;Vatu;;;;2015-10-06 10:31:27
1113233;4051086;;1;;elamu;;EE00868148;0103000000010000000700000048E17A14CE402441EC51B81E879B584152B81E05E5402441666666E6879B58415C8FC2F5E1402441E17A144E899B5841CDCCCC4CD9402441295C8F02899B5841A4703D0AD7402441AE47E10A8A9B58417B14AEC7C8402441EC51B88E899B584148E17A14CE402441EC51B81E879B5841;K;2015-11-02 09:01:55.442660;2019-07-18 06:52:36.427238;110020374;3032082;EE;;HOONE;Põlva maakond, Kõlleste vald, Prangli küla, Silla;Silla;100.9;663658.92;6450722.19;2019-07-18 06:52:36
1228757;4165092;;1;;Abihoone;;;01030000000100000005000000AE47E17A0D50214185EB51A8531B5941E17A14AE1950214114AE4791521B59418FC2F5A8205021419A9999C9531B59415C8FC275145021410AD7A3E0541B5941AE47E17A0D50214185EB51A8531B5941;D;2016-05-10 11:42:58.544000;2016-05-11 09:52:34.359378;120783645;;ME;;HOONE;Harju maakond, Raasiku vald, Järsi küla, Matu;Matu;;;;2016-05-11 09:45:05
1275394;4212490;VTORU;1;1;kanalisatsiooni- ja tarbeveetrass;;;010200000003000000666666661DB2204133333313D1F15841CDCCCCCCB4B1204133333333CEF158419A999999ACB12041333333F3CFF15841;D;2016-07-07 12:18:46.099000;2016-07-07 12:20:54.823574;220790450;;;;VEEVARK;;;;;;2016-07-07 12:20:54
1277838;4214917;;1;;Laskemoona väljastamise hoone;;ME03537160;01030000000100000005000000EC51B89E705322411F85EBD1D62259410000008074532241B81E850BD6225941D7A370BD7B532241B81E859BD6225941C3F528DC77532241295C8F62D7225941EC51B89E705322411F85EBD1D6225941;D;2016-07-12 10:20:08.698000;2023-04-06 09:41:46.566538;120790803;7285903;ME;;HOONE;Harju maakond, Kuusalu vald, Suru küla, Keskpolügoon 334;Keskpolügoon 334;;;;2016-07-21 08:20:14
1277848;4214919;;1;;Laskemoona väljastamise hoone;;ME03537161;01030000000100000005000000333333334154224100000020E722594100000000495422419A999999E5225941CDCCCCCC51542241CDCCCC4CE6225941333333334A542241333333D3E7225941333333334154224100000020E7225941;D;2016-07-12 10:29:38.415000;2023-04-06 09:41:46.561173;120790804;7285902;ME;;HOONE;Harju maakond, Kuusalu vald, Suru küla, Keskpolügoon 334;Keskpolügoon 334;;;;2016-07-21 08:20:15
1312738;4249755;SLMAA;1;1;Telia sidevõrk;;;01020000000F0000001F85EBD11C8C20415C8FC2D59E05594185EB5138168C2041295C8FA2A00559411F85EBD11C8C20415C8FC2D59E05594185EB51B8878C204152B81E65A5055941295C8F42808C20413D0AD733A705594185EB51B8878C204152B81E65A5055941B81E85EBC98C204152B81E65A9055941295C8FC2C38C20418FC2F548AB055941B81E85EBC98C204152B81E65A9055941295C8F42328D204185EB51B8AF055941A4703D0A298D20415C8FC2B5B1055941295C8F42328D204185EB51B8AF055941EC51B81E3F8D204185EB5188B005594185EB51B86F8D2041A4703D8AB3055941333333B3688D204185EB5188B5055941;D;2016-09-02 12:08:27.054618;2016-09-02 12:08:27.054618;220787802;;;;SIDE;Rapla maakond, Kohila vald, Kohila alev, Põllu tn 10;Põllu tn 10;0.0;542307.67;6559400.74;2016-09-02 12:08:27
1312738;4249755;SLMAA;1;1;Telia sidevõrk;;;01020000000F0000001F85EBD11C8C20415C8FC2D59E05594185EB5138168C2041295C8FA2A00559411F85EBD11C8C20415C8FC2D59E05594185EB51B8878C204152B81E65A5055941295C8F42808C20413D0AD733A705594185EB51B8878C204152B81E65A5055941B81E85EBC98C204152B81E65A9055941295C8FC2C38C20418FC2F548AB055941B81E85EBC98C204152B81E65A9055941295C8F42328D204185EB51B8AF055941A4703D0A298D20415C8FC2B5B1055941295C8F42328D204185EB51B8AF055941EC51B81E3F8D204185EB5188B005594185EB51B86F8D2041A4703D8AB3055941333333B3688D204185EB5188B5055941;D;2016-09-02 12:08:27.054618;2016-09-02 12:08:27.054618;220787802;;;;SIDE;Rapla maakond, Kohila vald, Kohila alev, Põllu tn 10;Põllu tn 10;0.0;542307.67;6559400.74;2016-09-02 12:08:27
1344827;4281579;MARAJAT;1;1;Harjumaa, Loksa linn, Rohuaia tn 6 sidekaabli projekteerimine;;;010200000004000000B81E856B553C22415C8FC2B525335941F6285C8F803C2241CDCCCCDC21335941F6285C8FA33C2241D7A370BD1E3359418FC2F528D83C2241B81E85CB1A335941;D;2016-10-04 11:31:45.430000;2016-10-04 11:36:07.058304;220798934;;;;RAJATIS;Harju maakond, Loksa linn, Rohuaia tn 6;Rohuaia tn 6;;;;2016-10-04 11:35:39
